sample,group,type,bam
SRR14570256,WT,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam
SRR14570257,WT,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam
SRR14570258,WT,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam
SRR14570259,WT,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam
SRR14570260,WT,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam
SRR14570261,WT,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam
SRR14570262,fip37,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam
SRR14570263,fip37,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam
SRR14570264,fip37,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam
SRR14570265,fip37,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam
SRR14570266,fip37,Input,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam
SRR14570267,fip37,IP,/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam
