sample,group,type,replicate
SRR14570256,WT,Input,4
SRR14570257,WT,IP,4
SRR14570258,WT,Input,5
SRR14570259,WT,IP,5
SRR14570260,WT,Input,6
SRR14570261,WT,IP,6
SRR14570262,fip37,Input,2
SRR14570263,fip37,IP,2
SRR14570264,fip37,Input,3
SRR14570265,fip37,IP,4
SRR14570266,fip37,Input,5
SRR14570267,fip37,IP,5
SRR14570268,vir,Input,1
SRR14570269,vir,IP,1
SRR14570270,vir,Input,3
SRR14570271,vir,IP,3
SRR14570272,vir,Input,2
SRR14570273,vir,IP,2
SRR14570274,hakai,Input,1
SRR14570275,hakai,IP,1
SRR14570276,hakai,Input,2
SRR14570277,hakai,IP,2
SRR14570278,hakai,Input,3
SRR14570279,hakai,IP,3
