# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/home/xi/tmp/plant_m6A_data/ref/ath_TAIR10.gtf" "-o" "/home/xi/tmp/plant_m6A/results/phase1/expr/GSE174573_gene_counts.txt" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam
AT1G30814	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10942648;10942648;10942648;10942663;10943007;10943007;10943007;10943007;10943154;10943154;10943154;10943301;10943644;10943644;10943644;10943644;10943868;10943868;10943868;10943868;10944078;10944078;10944078;10944078;10944317;10944317;10944317	10942909;10942909;10942909;10942909;10943060;10943060;10943561;10943060;10943561;10943255;10943561;10943561;10943750;10943750;10943750;10943750;10943984;10943984;10943984;10943984;10944282;10944229;10944229;10944229;10944727;10944727;10944727	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1657	0	0	2	1	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT1G78930	1;1;1;1;1;1;1	29677904;29678707;29679017;29679327;29679538;29679877;29680106	29678618;29678924;29679199;29679440;29679783;29680014;29680757	-;-;-;-;-;-;-	2266	18	27	45	71	63	99	12	13	38	24	10	2	54	39	31	13	41	23	53	30	42	49	43	74
AT1G71695	1;1;1	26964087;26965591;26965943	26964625;26965785;26966688	+;+;+	1480	561	1123	1348	657	1440	1615	211	167	621	528	213	229	506	525	383	568	622	567	1362	1618	1006	912	1062	614
AT1G58983	1;1	21805932;21806783	21806440;21807496	-;-	1223	0	1	3	0	2	1	1	0	1	0	0	2	0	4	0	6	0	0	1	1	1	1	1	1
AT1G12980	1	4429718	4430965	+	1248	0	3	5	1	3	7	0	0	0	0	0	4	1	8	0	0	2	1	0	0	1	0	2	0
AT1G45223	1	17141192	17141771	+	580	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AT1G56250	1;1;1	21061522;21062380;21062593	21062223;21062498;21063047	-;-;-	1276	13	7	44	34	44	100	1	4	3	20	2	0	9	9	8	39	20	58	108	81	38	78	62	61
AT1G66852	1	24938500	24938832	-	333	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	1;1;1;1;1;1;1;1	26276948;26276948;26277773;26277773;26277988;26277988;26279051;26279051	26277684;26277684;26277886;26277886;26278871;26278524;26279255;26279255	-;-;-;-;-;-;-;-	1940	41	135	165	168	169	467	14	65	43	126	13	57	80	71	59	100	68	165	197	283	94	176	145	107
AT1G72450	1;1;1;1;1;1;1	27273968;27274065;27275065;27275544;27275544;27275983;27275983	27274540;27275391;27275391;27275667;27275667;27276562;27276317	-;-;-;-;-;-;-	2128	545	1240	2348	1961	2560	2984	224	146	308	272	108	96	647	795	443	365	737	896	3057	2116	1592	1577	1688	1429
AT1G76280	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	28617577;28617577;28617577;28617577;28617902;28618422;28618422;28618422;28618422;28618775;28618775;28618775;28618775;28619051;28619051;28619051;28619051;28619051;28619377;28619377;28619377;28619377;28619377;28619987;28619987;28619987;28619987;28619987;28620268;28620268;28620268;28620268;28620706;28620706;28620706;28620706;28620706;28621403;28621403;28621403;28621403;28621403;28621673;28621673;28621673;28621673;28621673;28621955;28621955;28621955;28621955;28621955;28622259;28622259;28622259;28622259;28622259;28622409;28622409;28622409;28622409;28622409;28622568;28622568;28622568;28622568;28622568	28618340;28618340;28618541;28618340;28618340;28618541;28618541;28618541;28618963;28618963;28618963;28618963;28618963;28619194;28619194;28619194;28619194;28619194;28619604;28619604;28619604;28619604;28619604;28620160;28620160;28620160;28620160;28620160;28620363;28620363;28620363;28620363;28621149;28621149;28621149;28621149;28621149;28621585;28621585;28621585;28621585;28621585;28621780;28621768;28621780;28621780;28621780;28622142;28622142;28622142;28622142;28622142;28622328;28622328;28622328;28622328;28622328;28622475;28622475;28622475;28622475;28622475;28622777;28622601;28622777;28622777;28622777	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3299	21	102	183	348	182	311	26	17	72	61	21	12	126	76	66	52	97	111	196	214	201	144	175	176
