"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"1","1",5536,5561,1,"+",1,"25","0",5.14054,1.58301,1.82472,2.49096,"AT1G01010",-3.13683798828878,3.2430675265143e-12,7.97510392393313e-12,11.4890440084386
"2","1",6812,6987,2,"-",1,"175","0",25.03863,1.16087,1.52882,0.24106,"AT1G01020",-1.37979295676907,0.136232948038542,0.156264760410286,0.865717845280433
"3","1",24145,24195,3,"+",1,"50","0",9.71538,10.13124,7.84138,5.14262,"AT1G01040",-0.528748766258439,0.0333129159214007,0.0408081592052084,1.47738735130315
"4","1",30588,30713,4,"+",1,"125","0",19.75051,26.59451,17.45817,11.24949,"AT1G01040",-0.307345905752891,0.0636764365215449,0.0756663299794605,1.19602124869897
"5","1",31565,31590,5,"-",1,"25","0",4.72241,4.01028,2.31789,1.60707,"AT1G01050",-0.970159354718334,0.0247036277678643,0.0306735487772175,1.60723926520691
"6","1",31244,31369,6,"-",1,"125","0",16.25789,1.58301,2.46584,0.16071,"AT1G01050",0.799687315361221,0.456785380312626,0.487957562922744,0.34028780439259
"7","1",34934,34984,7,"-",1,"50","0",2.33661,2.16344,2.12062,1.52672,"AT1G01060",-1.47551671500336,0.00212272626372883,0.00290065807225628,2.67310600668985
"8","1",34609,34634,8,"-",1,"25","0",47.69146,54.56096,36.09994,52.06906,"AT1G01060",-1.39480042610514,3.34570792459833e-48,2.85387064348678e-47,47.475511974991
"9","1",34161,34186,9,"-",1,"25","0",44.61697,61.36788,72.74237,71.99673,"AT1G01060",-0.655586545335222,1.00216415326469e-15,2.94431724978529e-15,14.9990611357362
"10","1",33711,33936,10,"-",1,"225","0",44.22344,4.74902,12.52648,3.69626,"AT1G01060",-1.17567394220316,2.47555312225278e-05,3.94912165450591e-05,4.60632774981979
"11","1",46660,46710,11,"-",1,"50","0",4.57484,1.42471,3.60013,1.36601,"AT1G01080",-0.742972095208884,0.128750862140975,0.148170678761651,0.890249854156174
"12","1",48958,49133,12,"-",1,"175","0",62.22764,92.60588,54.05128,81.96056,"AT1G01090",-1.69723719329649,2.50456561905595e-107,5.67299200460866e-106,106.601267585408
"13","1",47883,47933,13,"-",1,"50","0",42.059,77.51455,37.28354,70.1486,"AT1G01090",-1.73220947540823,5.83157235532966e-86,9.94859893649707e-85,85.2342143314888
"14","1",47683,47733,14,"-",1,"50","0",25.30919,18.36287,7.44685,11.89232,"AT1G01090",-1.8777966217384,3.49671633734424e-23,1.41616258384472e-22,22.4563395973513
"15","1",47633,47658,15,"-",1,"25","0",25.62893,13.61386,6.65778,4.58015,"AT1G01090",-0.512184717407087,0.0396839645868008,0.0482479812605481,1.40138494659446
"16","1",50333,50539,16,"-",2,"4,121","0,85",197.55431,437.96512,155.44674,220.89175,"AT1G01100",-1.18289291370447,6.69956413049039e-160,2.69127789857306e-158,159.173953451311
"17","1",50108,50308,17,"-",1,"200","0",120.34776,50.65621,53.31152,25.3917,"AT1G01100",-0.795134596209461,4.51532506015463e-14,1.2222910170037e-13,13.3453109791822
"18","1",62104,63611,18,"-",2,"20,55","0,1452",4.86999,6.54309,4.14262,3.37485,"AT1G01130",-1.0722441219954,0.000769878532031547,0.00109342875290421,3.11357779045059
"19","1",64315,64440,19,"-",1,"125","0",61.71112,11.50318,8.13728,4.82121,"AT1G01140",-1.71309625620841,9.82829159624888e-13,2.4808254834785e-12,12.0075219668884
"20","1",64240,64265,20,"-",1,"25","0",7.94448,0.9498,1.47951,0.32141,"AT1G01140",-0.448225720024449,0.595228211467092,0.622928655955318,0.225316493130642
"21","1",73326,74096,21,"+",3,"69,253,275","0,161,495",195.98017,85.69342,59.52545,44.67654,"AT1G01160",-2.28597314922469,4.05059168282941e-164,1.71511539723407e-162,163.392481533373
"22","1",73930,74105,22,"-",1,"175","0",110.90293,14.82749,10.70176,7.39252,"AT1G01170",-2.83365052608694,1.77828873575098e-45,1.42263098860079e-44,44.7499977224644
"23","1",95418,95443,23,"+",1,"25","0",4.94378,7.59843,21.25557,15.18681,"AT1G01220",-0.157610230177133,0.434380092513511,0.465796585629364,0.362130086526121
"24","1",95493,95593,24,"+",1,"100","0",10.94518,1.95237,0.54249,1.44636,"AT1G01220",-4.05293272235682,2.06526958490848e-11,4.87104104833513e-11,10.6850232507405
