"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"1","1",5536,5561,1,"+",1,"25","0",4.15582,0.9282,0.78196,1.78008,"AT1G01010",-3.49517432587645,5.69718560076243e-17,5.62242523494873e-16,16.2443396320311
"2","1",6812,6987,2,"-",1,"175","0",20.24224,0.68068,11.85967,0.76289,"AT1G01020",-0.932550263266894,0.0311283760305101,0.058613350741124,1.50684353589908
"3","1",24095,24220,3,"+",1,"125","0",8.57014,6.74489,6.69007,6.00778,"AT1G01040",-0.34306740263496,0.0556947201490713,0.0971027315987233,1.25418597392517
"4","1",30588,30738,4,"+",1,"150","0",16.64318,16.33625,16.61658,14.30424,"AT1G01040",0.0261629951455031,0.823598800319365,0.871024783066414,0.0842842946609261
"5","1",31419,31590,5,"-",2,"5,70","0,101",5.48807,2.93929,2.21554,1.93902,"AT1G01050",-0.843894158007495,0.0035898996000131,0.00858303642629134,2.44491769731862
"6","1",31244,31369,6,"-",1,"125","0",13.14354,0.9282,6.95072,0.76289,"AT1G01050",-0.654385799473348,0.107986339054496,0.170278362128604,0.966631181999226
"7","1",35808,35858,7,"-",1,"50","0",3.24114,3.58902,3.56225,2.38404,"AT1G01060",0.575363316527062,0.0310095820278069,0.0584293122524218,1.50850408749503
"8","1",34784,35134,8,"-",1,"350","0",9.60413,6.31173,9.64413,5.75348,"AT1G01060",-0.0235128959829478,0.893246647146602,0.925150694370581,0.0490286052721358
"9","1",34584,34659,9,"-",1,"75","0",44.06366,37.83945,26.39103,33.5037,"AT1G01060",-0.708384514910785,5.36711975580371e-19,6.01789657952763e-18,18.2702587142519
"10","1",34211,34236,10,"-",1,"25","0",8.25199,9.06538,3.90978,5.53097,"AT1G01060",-0.526418962598109,0.00529869812866478,0.0121353612089276,2.2758308219066
"11","1",34161,34186,11,"-",1,"25","0",36.07016,35.98306,24.19721,34.29838,"AT1G01060",-0.660925304926311,8.02373169248986e-16,7.43212877831396e-15,15.0956236022233
"12","1",33711,33936,12,"-",1,"225","0",35.75201,2.78459,45.02766,1.78008,"AT1G01060",0.968101854712089,0.000107153747970271,0.00034214977101864,3.96999263382103
"13","1",46660,46735,13,"-",1,"75","0",4.03652,1.05196,4.95239,0.9854,"AT1G01080",0.332945676737439,0.386372862514438,0.485828423545,0.412993384518746
"14","1",48850,49258,14,"-",2,"2,323","0,85",54.56258,59.34265,52.7169,65.10017,"AT1G01090",-0.340510232308938,2.34096935166497e-08,1.20237350505376e-07,7.63060427211709
"15","1",47858,47958,15,"-",1,"100","0",39.09258,63.0245,26.73857,47.20398,"AT1G01090",-0.292553668007816,4.74956380061376e-05,0.000160659611202867,4.32334627409834
"16","1",47683,47783,16,"-",1,"100","0",39.192,45.94569,25.97833,45.9325,"AT1G01090",-0.73478533218283,1.29809906991875e-22,1.79314122920573e-21,21.8866921612512
"17","1",47633,47658,17,"-",1,"25","0",20.71946,7.98248,6.64663,4.00519,"AT1G01090",-0.708430651423803,0.000105663570781855,0.000337858019675915,3.9760747169062
"18","1",51090,51129,18,"-",2,"18,7","0,32",10.12112,16.18155,31.01761,37.69961,"AT1G01100",0.233191053271215,0.028128132699631,0.053711127127741,1.55085909773752
"19","1",50108,50589,19,"-",2,"229,171","0,310",236.34505,269.64089,220.64205,281.38025,"AT1G01100",-0.317984016987702,1.41368897931152e-27,2.43975639706928e-26,26.8496461276157
"20","1",52577,52602,20,"+",1,"25","0",0.49711,0.40222,0.65163,0.34966,"AT1G01110",0.403226683899667,0.569262494083605,0.658014140008086,0.244687428781296
