"","chr","chromStart","chromEnd","name","strand","blockCount","blockSizes","blockStarts","RPM.IP.Control","RPM.input.Control","RPM.IP.Treated","RPM.input.Treated","geneID","diff.log2FC","pvalue","fdr","score"
"1","1",5536,5586,1,"+",1,"50","0",4.98886,1.5638,0.84182,0.88765,"AT1G01010",-2.64298039871306,5.73468876644054e-05,0.000138856587339065,4.24149014719345
"2","1",6812,7012,2,"-",1,"200","0",26.44997,1.92124,7.64651,0.88765,"AT1G01020",-1.12222772719449,0.0272916904970961,0.0424829378267146,1.56396956250445
"3","1",23895,23920,3,"+",1,"25","0",4.51694,5.80839,6.10317,2.58225,"AT1G01040",0.265900034714886,0.433646706502062,0.500260908385682,0.362863947678855
"4","1",24095,24120,4,"+",1,"25","0",5.68551,4.95947,3.08666,2.90503,"AT1G01040",-1.39048420178333,0.000130363851235486,0.000299441815868178,3.8848428180012
"5","1",24145,24195,5,"+",1,"50","0",8.87658,8.57854,6.66439,5.16449,"AT1G01040",-1.01925020168552,0.000124231367952551,0.000286465688778678,3.9057687325919
"6","1",30588,30738,6,"+",1,"150","0",18.80936,23.59099,9.5406,7.50465,"AT1G01040",-0.878600766604326,2.87449224934625e-05,7.26288375001486e-05,4.54143885802886
"7","1",31419,31590,7,"-",2,"5,70","0,101",6.20237,4.24459,2.38515,1.29112,"AT1G01050",-0.722291130556288,0.124219130250713,0.16679184993996,0.905811515894192
"8","1",31244,31369,8,"-",1,"125","0",14.85423,1.3404,10.80332,0.24209,"AT1G01050",1.50746233460134,0.0875632241158653,0.121788844804157,1.05767825589864
"9","1",34959,35109,9,"-",1,"150","0",6.20237,4.46799,1.26273,0.80695,"AT1G01060",-1.54122330043448,0.00939659739475675,0.0159559261967963,2.02702938046414
"10","1",34884,34909,10,"-",1,"25","0",2.96635,2.68079,0,0.16139,"AT1G01060",-3.76865552311363,0.0157607425510318,0.0257034852594036,1.80242332503055
"11","1",34834,34859,11,"-",1,"25","0",4.56189,4.42331,0.35076,0.24209,"AT1G01060",-1.01499664433116,0.342074203223407,0.407692210759973,0.465879675946929
"12","1",34584,34634,12,"-",1,"50","0",49.66391,54.59885,7.5062,12.83054,"AT1G01060",-1.82086265095043,2.81610922388167e-22,3.06812578449201e-21,21.5503505049244
"13","1",34534,34559,13,"-",1,"25","0",54.96739,62.77528,9.9615,13.71818,"AT1G01060",-1.32559437650918,8.97128405083395e-15,5.97370725723589e-14,14.047145392376
"14","1",34211,34236,14,"-",1,"25","0",9.32603,13.09121,1.75379,2.01738,"AT1G01060",-1.16314347828098,0.0059221549067455,0.0104307709347135,2.22752023688848
"15","1",34161,34186,15,"-",1,"25","0",40.76486,51.96274,17.46771,7.10118,"AT1G01060",0.367833553001481,0.0491119177187496,0.0724349872880237,1.30881310723655
"16","1",34111,34136,16,"-",1,"25","0",43.10199,54.37545,23.00967,7.58535,"AT1G01060",0.934781410580229,1.25630058202278e-07,4.29079822068027e-07,6.90090643902557
"17","1",33711,33936,17,"-",1,"225","0",40.4053,4.02119,2.80606,0.24209,"AT1G01060",-0.276897463968808,0.751857571388138,0.795487400710373,0.123864422465124
"18","1",46660,46710,18,"-",1,"50","0",4.17986,1.20636,8.83908,1.37182,"AT1G01080",0.0875753835185667,0.854235504375396,0.88317067153795,0.0684223820617609
"19","1",48850,49233,19,"-",2,"2,298","0,85",61.66415,85.65139,45.87904,38.97578,"AT1G01090",-1.10899981751766,1.71001965117733e-30,2.75114435042232e-29,29.7669988987606
"20","1",47883,47958,20,"-",1,"75","0",39.77608,69.34322,29.95466,29.21166,"AT1G01090",-0.96205441421728,4.76428578803595e-17,3.76051632412438e-16,16.3220021950389
"21","1",47683,47733,21,"-",1,"50","0",23.12406,15.54861,3.71803,5.64866,"AT1G01090",-2.16137413385214,6.77466256055009e-15,4.5543304372596e-14,14.1691123317068
"22","1",47633,47658,22,"-",1,"25","0",23.4162,11.52742,4.13893,4.68032,"AT1G01090",-1.84253979986339,1.01341140645634e-10,4.7562034725668e-10,9.99421421181447
"23","1",50333,50539,23,"-",2,"4,121","0,85",180.49799,370.84327,76.67552,182.77461,"AT1G01100",-2.19309623730821,0,0,Inf
"24","1",50108,50308,24,"-",1,"200","0",109.95726,42.89272,62.08402,25.58038,"AT1G01100",-0.983016188860818,5.08310081329636e-20,4.90059248134273e-19,19.2938712768359
"25","1",62104,63636,25,"-",2,"20,80","0,1452",4.472,5.62967,2.4553,1.45251,"AT1G01130",-0.821866713691311,0.067507465030238,0.0966141564958568,1.17064819987742
"26","1",67443,67568,26,"-",1,"125","0",29.66351,70.37086,34.44435,33.81129,"AT1G01140",-0.652507807374623,3.01625222309785e-09,1.23464474408285e-08,8.52053234499073
"27","1",64584,64609,27,"-",1,"25","0",8.24736,7.59558,3.85833,3.63128,"AT1G01140",-1.19840048855267,0.000175326408800799,0.000395258044375005,3.75615266272745
"28","1",64315,64440,28,"-",1,"125","0",56.38315,9.74022,16.48559,3.3085,"AT1G01140",-0.817501233934137,0.00200234565911712,0.00380817944168548,2.69846094938955
"29","1",64240,64265,29,"-",1,"25","0",7.25857,0.80424,0.56121,0.16139,"AT1G01140",-1.87216446279374,0.0942733642561635,0.130049878169237,1.02561099433136
"30","1",72563,72638,30,"+",1,"75","0",11.84293,16.79965,15.08256,7.82743,"AT1G01160",0.0664999992026182,0.741445574261645,0.786414654831168,0.129920722808692
"31","1",73153,74096,31,"+",4,"10,109,253,275","0,133,334,668",180.04854,73.90057,78.63976,32.43947,"AT1G01160",-1.53488374174755,7.31842427418518e-62,2.86285365135173e-60,61.1355824165772
"32","1",73930,74105,32,"-",1,"175","0",101.32787,12.55506,28.41133,4.84171,"AT1G01170",-1.27095541647792,5.90339238096812e-09,2.34220917205426e-08,8.22889834955437
"33","1",95493,95618,33,"+",1,"125","0",10.09009,1.65316,2.66575,0.48417,"AT1G01220",-0.796973455267359,0.241268364109657,0.300427259301433,0.617499620458959
"34","1",101264,101364,34,"+",1,"100","0",7.8878,10.36574,7.3659,6.61701,"AT1G01240",-0.789012213444647,0.00128962724455367,0.00254328177657907,2.88953580057439
"35","1",110470,110495,35,"+",1,"25","0",3.79783,2.63611,2.73591,1.21043,"AT1G01260",-0.461177487321242,0.346230865559684,0.412030235284622,0.460634218538223
"36","1",116061,116186,36,"+",1,"125","0",15.66323,1.60848,2.80606,0.64556,"AT1G01290",-1.74312828550567,0.00431574197418175,0.00776826835106726,2.36494452843279
"37","1",117108,117433,37,"+",1,"325","0",12.42721,14.29757,34.3742,8.06952,"AT1G01300",0.281589921289302,0.134100129316448,0.178565884671522,0.872570803346069
"38","1",117458,117483,38,"+",1,"25","0",0.87642,2.18932,3.71803,1.04904,"AT1G01300",0.591479001760887,0.27633359964128,0.338182658948868,0.558566305631334
